,id,username,context,time,source,href,judge
19,7025530590,呆桃与啵啵·,"#河南暴雨救援# 🆘#河南暴雨互助#
【已核实】【转】

🚨𝟮𝟬:𝟰𝟮已核实‼️𝟮𝟬𝟬多名学生待救援‼️

没水没电没网 电量不足 急需支援‼️‼️‼️
☎️𝟭𝟳𝟱𝟱𝟬𝟱𝟵𝟱𝟲𝟭𝟬
☎️𝟭𝟱𝟱𝟯𝟴𝟭𝟵𝟮𝟯𝟬𝟵

地址：郑州市中牟县富康佳苑 ",07月21日 21:19,OPPO智能手机,https://weibo.com/7025530590?refer_flag=1001030103_,真
20,5151918954,兴芒-10,"#河南暴雨互助##新乡#新乡日报社记者已核实:
经证实：107漫堤了，已经用面粉，饲料堵。需要沙袋，专业救援人员。
地址：107新原立交桥，往北方向联系电话：王永周13523220698
赵立印13523255551
张庆海13569859035
焦小民
13781985491
王永兴13462261439
张艳新
13069353881 2新乡 L新乡早知道的微博视频 ",07月24日 00:44,微博视频号,https://weibo.com/5151918954?refer_flag=1001030103_,真
21,6979830162,用户6979830162,女子暴雨被困 特警男友赶到先救其他市民 O网页链接,07月24日 22:59,学习强国客户端,https://weibo.com/6979830162?refer_flag=1001030103_,真
22,1970887207,微笑的水蓝湛湛,#新乡暴雨求助# 希望尽快找到！//@老佛爷elva:寻人#河南暴雨互助#,07月24日 20:21,,https://weibo.com/1970887207?refer_flag=1001030103_,假
23,1097571394,信阳消防,【#不会游泳也能用的落水自救法#】突发暴雨洪灾，不慎落水如何自救？@桂林消防119 消防员亲身示范“水母漂”“空瓶浮”“纵队行”三种实用自救方法，即使不会游泳也能用得上。一起看视频学习。 L新华社的微博视频,07月24日 22:59,微博视频号,https://weibo.com/1097571394?refer_flag=1001030103_,假
24,3365355414,秦岭二月,【泪目！#在郑独居父亲收到女儿7条叮嘱#：你现在是我的唯一】#河南暴雨直击#郑州连日大雨，在北京工作的宋女士因无法联系到在郑州独居的老父亲而感到揪心。你那里下雨了吗？希望朋友们都平安！7月21日，宋女士拜托郑州助老特别行动队寻找失联父亲，并一定要把“七条叮嘱”当面念给她父亲听，晚上20时，一切安好的父亲收到了来自女儿的叮嘱，“你是当过兵的人，一定要坚强。”@搜狐千里眼 L搜狐千里眼的微博视频 ,07月24日 22:59,微博视频号,https://weibo.com/3365355414?refer_flag=1001030103_,假
26,7181113556,被风吹着向你跑来,等一个暴雨,07月24日 22:59,nova7Pro你在焦点在,https://weibo.com/7181113556?refer_flag=1001030103_,假
27,1785450124,FitFita,和s晚上本来想去吃塔可 但是店里下架了 我们出去走到一半突然下暴雨 想着随便找个地方吃吧 然后就冒着雨跑进了餐厅 坐下来的时候发现 我们湿漉漉的样子 应该是进隔壁大排档 而不是进来锯扒 s说 没关系 我们优雅永不过时,07月24日 22:59,iPhone 12 Pro Max,https://weibo.com/1785450124?refer_flag=1001030103_,假
32,2139893427,绍兴越城公安,#抗击台风 宁波公安在行动# 【搜寻4小时，暴雨夜找回走失女孩】7月23日晚上，奉化江口街道郭范村一名9岁女孩在回家途中遇上暴雨，因害怕台风天气便躲进了村里的一间废弃房屋避雨。女儿彻夜未归，父母担心台风天出意外随即报警求助。在民警和家属的共同努力下，今天凌晨4时许，终于在村里的一间废弃房屋中找回了走失的女孩@奉化公安 L宁波公安的微博视频 ,07月24日 15:05,微博视频号,https://weibo.com/2139893427?refer_flag=1001030103_,假
34,5995845634,-菠萝锅锅-,"像很多鸡汤博主说的 我一直都知道有人爱我。
我的爷爷奶奶 我知道他们毫无保留地爱着我。
端午节的时候打电话给他们说我很想吃他们包的红枣粽子 于是他们留了很多冻在冰箱里 等着我回老家的时候吃
河南和附近的省份暴雨成灾 晋城和郑州挨得很近也受到很大影响 爷爷奶奶在视频里数着他们听邻居和朋友说的哪个县城的哪户人家又被水冲走了 哪个村子又淹死了多少人 我以为他们很害怕很担心 于是就跟他们说要注意安全 结果爷爷奶奶说 所以广州下大雨的时候 让我一定要保护好我自己
快要立秋了 爷爷奶奶很骄傲地跟我炫耀他们在老家种的菜长势很好 院子里种的葡萄也快成熟啦 会是又大又甜的葡萄 奶奶第一反应就是想给我寄过来让我尝尝 真好呀
小时候因为家庭的原因 我一直是个不善于表达情感的人 尤其是不善于表达对亲近的人的情感 我觉得好肉麻好别扭哦 但是不知道从什么时候开始 这个习惯被改变了
每次跟爷爷奶奶通电话或者视频聊天的结尾 我都要问他们一句 你们有没有想我呀 有多想我呀 爷爷奶奶就会笑得很开心 不厌其烦地每次都回答我 想呀 怎么能不想你呢 我们一天到晚都在念叨你 奶奶出去买菜 做饭都在说朵朵朵朵 还说不想你
嘿嘿 我好爱爷爷奶奶 我永远最爱最爱爷爷奶奶 ",07月24日 22:59,iPhone 12,https://weibo.com/5995845634?refer_flag=1001030103_,假
35,5702160527,甜系奶烊0,扩扩扩#河南暴雨互助#,07月24日 19:32,iPhone 6s Plus,https://weibo.com/5702160527?refer_flag=1001030103_,假
37,5994589559,金老师的说法,"有些人明明是自己的身材不好又不会穿搭，就把责任都推到买的牌子不够好，其实无论是耐克阿迪还是鸿星尔克，他们穿上都是一个隧样儿，所以“不好看、不上档次”这口锅，国产品牌不能再背了，鸿星尔克真棒，跟金老师一定为他们加油

#鸿星尔克的微博评论好心酸##鸿星尔克立志成为百年品牌##鸿星尔克捐赠5000万驰援河南##鸿星尔克捐款下的微博评论好心酸##鸿星尔克7月23日销量增长超52倍##薇娅真的把鸿星尔克找来了##这是什么阴间开幕式##这是什么阴间开幕式##东京奥运开幕式##新乡暴雨##新乡暴雨求助##新乡出现漫堤险情##安阳暴雨##鹤壁暴雨##鹤壁决堤##鹤壁暴雨救援##鹤壁浚县急需物资##鹤壁降水量已超过郑州##北京警方通报吴亦凡事件##吴亦凡值得坐牢##吴亦凡坐牢##吴亦凡坐牢吧##北京警方通报吴亦凡事件##吴亦凡##交通部发文要求汲取郑州地铁教训##停靠40小时的K226次列车迎来物资##都美竹让吴亦凡宣告退圈##都美竹 吴先生这次是决战##网友想对都美竹说的话##吴亦凡 都美竹##吴亦凡方律师声明##吴亦凡代言品牌权限与他合作发布的微博##云听终止与吴亦凡一切合作##O网页链接##吴亦凡代言品牌权限与他合作发布的微博#。#韩束与吴亦凡解约##吴亦凡被控诱骗未成年女孩##多家品牌火速删除吴亦凡合作广告##吴亦凡代言品牌权限与他合作发布的微博##韩束与吴亦凡解约##良品铺子已终止与吴亦凡合作##东京奥运会运动员下榻酒店暴发集体感染#@每日经济新闻 @北京人不知道的北京事儿 @爆笑幽默君 @吃遍全世界美味 @财经杂志 @凤凰网 @京城律少 @美国每日事儿 @南方周末 @Vista看天下 @作家崔成浩 @真快乐 @三联生活周刊#时评##微博时评##毒舌时评##新浪微博热搜榜##热搜疯狂打call##我上热搜了##热搜穿越##我要上热搜##财经头条##财经##财经头条文章##新浪财经##社会新闻##东京##东京奥运会##东京奥运会倒计时30天##东京奥运会倒计时# @石述思 @肖锋 @Kevin在纽约 @Kevin在纽约 @作家崔成浩 @迟夙生律师 @李庄 @石述思 @王福重 @肖锋 @高晓松 @尼克德纳 @日本房产-老居@崔永元 @彩虹熊_白玮 @防务君 @何兵 @illionaireNick @江平教授 @李庄 @刘辉律师@Vista看天下 @彩虹熊_白玮 @崔永元 @凤凰网 @高晓松 @何兵 @江平教授 @尼克德纳 @日本房产-老居 @USA美国那些事儿 @周泽拍案 @易胜华律师 @伍雷洗冤 @欧洲时报 @马强美国移民律师@澳大利亚驻华使领馆 @奥地利驻华使馆 @爱尔兰驻华大使馆 @印度驻华大使馆 @阿联酋驻华大使馆 @白斌的公法梦 @冰岛驻华大使馆 @比利时驻华使馆 @柏浪涛的刑法观 @德国驻华大使馆 @法国驻华大使馆 @樊建川 @凤凰周刊 @法律人杨斌 @法职_庞九林律师 @高晓松 @何兵 @荷兰驻华大使馆 @韩国驻华大使馆 @加拿大大使馆官方微博@罗昌平 @罗振宇 @美国驻华大使馆 @美国驻沪总领事馆 @民商法孟献贵 @民法韩祥波 @南都周刊 @南方人物周刊 @挪威驻华大使馆 @欧盟在中国 @澎湃新闻 @葡萄牙驻上海总领事馆 @日本国驻华大使馆 @沈阳美国领事馆 @土耳其驻华大使馆 @Vista看天下 @王福重 @王牧笛 @西班牙驻华大使馆官方微博 @意大利驻华使馆 @英国驻华使馆 @意大利驻沪总领馆 @印度驻广州总领事馆 @英国驻广州总领事馆 @以色列驻华使馆 @左宁刑诉@北京检察 @北京日报 @北美世界日報 @不再是检察官的露薇 @迟夙生律师 @德国驻华大使馆 @法国驻成都总领事馆 @法国驻上海总领事馆 @何兵 @美东侨报 @美国驻广州总领事馆 @美国驻沪总领事馆 @欧洲时报德国版 @拍案正法 @三联生活周刊 @伍雷洗冤 @王牧笛 @香港中国新闻评报 @英国驻上海总领事 @正义必定胜 #娱乐圈##肖战滚出娱乐圈##吴亦凡滚出娱乐圈##娱乐圈那些事##都美竹姐姐发文##中国演出行业协会发声##吴亦凡工作室发澄清##马保国##马保国被ko##马保国武术行为图鉴##马保国也难逃真香定律##郑爽#郑爽#郑爽正能量##郑爽加油##郑爽张恒孩子出生证明##郑爽苏嘉蔓##郑爽微微一笑很倾城##郑爽回应一直在争取抚养权##美食##郑州美食##开封美食#美食#美食分享##不可辜负的美食##美食打卡##我的美食日记##美食时刻##美食治愈系##唯有美食不可辜负##美食故事##美食推荐##韩红爱心支援郑州在行动##河南暴雨##河南暴雨救援##河南一定行##河南暴雨##河南暴雨救援##河南暴雨互助##河南一定行##河南挺住# L金老师的说法的微博视频 ",07月24日 22:59,iPhone客户端,https://weibo.com/5994589559?refer_flag=1001030103_,假
38,1963997773,漯河同城会,"【#河南文物局局长哭了#】 “文物人太累了，我没有办法抢救所有的文物我没有办法保障文物不受损，郑州博物馆馆长张霆说，作为文物工作者文物的安全比我们的生命重要，我泪流满面………”这是7月23日晚，省文物局局长田凯在微信朋友圈更新的一条动态，道出了暴雨之下文物考古人一往无前的使命与担当，触动了无数文博人。

河南作为文物大省、考古大省，现有不可移动文物数量居全国第二，有世界文化遗产5处，全国重点文物保护单位420处，省级文物保护单位1170处。

“ 人在，文物在。”是每个河南文物考古人的信念。暴雨期间，全省各级文物部门深入博物馆、考古工地、遗址等一线现场，巡查、加固、排涝、清淤等，全力抢救受到暴雨威胁的文化遗产。每个文物人都在拼尽全力与时间赛跑，与险情抗争，风雨前未雨绸缪，风雨中舍命坚守，只为撑起文明的保护伞。致敬！

据悉， 国家文物局已专题研究支持河南省受灾文物抢险工作，决定动用文物突发事件应急处理项目资金，支持河南受灾文物应急、支护、抢险及勘察勘探等，确保受灾文物第一时间得到保护。（记者 温小娟）L河南日报的微博视频 ",07月24日 22:59,微博视频号,https://weibo.com/1963997773?refer_flag=1001030103_,假
40,7210916656,·山间月色·,#河南暴雨互助# //@博肖爱心联盟:#河南暴雨救援# ‼️物资领取‼️需要救援物资的可以到新乡学院（金穗大道东）领取，需要自己带车！ 有灾民安置和抗洪一线需要的请与新乡学院接收点联系！已核实，请大家助力扩散！,07月24日 10:25,新乡学院超话,https://weibo.com/7210916656?refer_flag=1001030103_,假
42,6238230616,沫甜儿motier,//@兔子源爱蹦蹦跳:#新乡# #新乡急需皮划艇冲锋舟# #新乡30座水库有29座蓄满溢洪# #新乡暴雨已致128万余人受灾# #直击新乡特大暴雨#,07月24日 22:35,荣耀30 5G,https://weibo.com/6238230616?refer_flag=1001030103_,假
43,7451246544,八个毛毯,乡村很需要援助#河南暴雨互助# //@全世界最有用的猪:#河南暴雨互助# //@学玺使我快乐:#鹤壁浚县急需物资# 河南暴雨互助【急需物资】现缺汽油桶（储存汽油用于发电机）缺头灯/手电/饮用水/方便面/易储存类食品！ 物资接收人魏彦宁：13569668166 接收地点：浚县王庄乡南苏村大队部,07月24日 22:18,Android,https://weibo.com/7451246544?refer_flag=1001030103_,假
44,5269822571,永州消防,【消防员为居住于28层的老人送生活用水】7月22日17时，郑州市消防救援支队巩义大队前往中原区一小区开展排涝工作，期间接到小区28层住户求助，家中有行动不便老人居住，急需饮用水，大队派遣消防员前往送水。#橙色力量守护河南##河南暴雨互助# @河南消防 L中国消防的微博视频,07月24日 22:59,微博视频号,https://weibo.com/5269822571?refer_flag=1001030103_,真
45,1740901921,Nothing无懈可击,"河南暴雨互助紧急求助🆘 ‼️ 凤泉区绿茵河畔需要大型龙吸水抽水泵
尊敬的各位领导，各位同胞，河南省新乡市凤泉区绿茵河畔整个小区全部被水淹没，排水系统全部瘫痪，已经浸泡了4天3晚了，再泡下去后果不堪设想，大楼的地基框架，长时间积水的细菌繁生！物业不作为！恳请党和国家，政府部门办事处的领导们安排大型抽水设备，来支援绿茵河畔上万名住户的人身安全。我们的家园‼️ 万分感谢🙏🙏🙏
联系人白守双 15670555069@央视新闻 @央视新闻 @新浪新闻客户端 @人民日报 @河南卫视 @瞭望东方周刊 @娱闻新风尚 2北京·北京·我们的费罗岛 ",07月24日 22:59,HUAWEI P30,https://weibo.com/1740901921?refer_flag=1001030103_,真
46,1567314890,一战的弯弯,"博君一肖

️𝟬𝟴𝟬𝟱 𝗠𝗜𝗦𝗦𝗜𝗢𝗡-［𝟬1]公益项目
【河南乡村学校爱心健康洗手计划】

关注卫生条件，助力灾后重建
关爱农村孩童，守护幼苗健康

爱心啵啵，呵护全家
-

地点：河南洛阳/郑州（啵啵的家乡）
项目实施：全球热在Yibo生日之际，特以弟弟名义，捐赠10000 元至河南农村五所小学及幼儿园，为其提供500瓶舒肤佳洗手液。为改善乡村学校卫生条件，助乡村儿童的健康成长贡献爱的力量。学校名单及物资进展会在后续公布跟进。

特感谢：
1. 枣波波老师@枣波波 授权的贴纸（将贴于洗手液瓶身）
2. 中华少年儿童慈善救助基金会对项目的鼎力支持
-
✶𝐻𝑎𝑝𝑝𝑦 𝐵𝑖𝑟𝑡ℎ𝑑𝑎𝑦 我们一博
愿每一份善意都能落到实处，同时给予你最好的福报。
- ",07月24日 20:05,博君一肖超话,https://weibo.com/1567314890?refer_flag=1001030103_,真
48,1800258830,ThirteenStarsBlueDreamEverLove,#江苏已发布50个台风预警##杭州大暴雨# 我的房子咋办啊，急死人啊，我还没回杭州呢,07月24日 22:59,HUAWEI P40 Pro 5G,https://weibo.com/1800258830?refer_flag=1001030103_,假
51,7024604641,南琛陌爱,"百团大站公益#百团公益#
【百团大“站”公益—37家粉丝团体联合应援公告】

风雨来袭，山河疮痍
目光所及之处皆是废墟
华夏大地，灾难侵蚀
目光所及之处皆已虚无

炎黄子孙，自当团结
齐心协力，携手同行
抗击洪水，义不容辞
凝心聚力，刻不容缓

河南挺住，我们来了
我们从千里之外冒雨而来
带着爱，带着希望
就算大雨让整座城市倾倒
我们会给你怀抱，予你温暖
祈福河南，祈愿平安！

37家粉丝团体联合向河南省新乡市卫辉市2个村捐赠2100箱矿泉水、400箱面包，愿他们平安，河南加油，我们在一起！ ",07月24日 22:38,百团大站公益超话,https://weibo.com/7024604641?refer_flag=1001030103_,真
52,6271138061,涂改液oo,河南暴雨互助扩，急需救生衣//@小馒头i1128:鹤壁市浚县王庄镇南苏村//@佟年的童:求一个具体地址,07月24日 22:18,HUAWEI nova 3,https://weibo.com/6271138061?refer_flag=1001030103_,假
53,6981005733,钱都给李飞,#河南暴雨互助#//@楼里偷小孩儿的:‼️‼️【现河南省鹤壁市浚县新镇镇西皮村】需要救生衣‼️还有其他物资,07月24日 22:24,Note 9,https://weibo.com/6981005733?refer_flag=1001030103_,假
59,5317821279,酒窝窝喔喔奶糖,谢谢大家，各地救援已经陆续到达了，飞机也给我们空投了物资，真的很感谢大家的帮忙，之前手机没电没信号，现在有信号了我来给大家说一下。真的很谢谢大家，消息发出来以后收到全国各地网友们的关切，谢谢大家 #新乡##新乡暴雨# 2辉县市,07月24日 22:59,HUAWEI P30,https://weibo.com/5317821279?refer_flag=1001030103_,真
60,5318289803,水影千帆,#河南暴雨互助#//@chaoscoups:救人,07月24日 19:46,🍊'HarmonyOS设备,https://weibo.com/5318289803?refer_flag=1001030103_,假
65,5196057034,罗云熙的守护神,大家都要平平安安//@罗云熙Leo:扩散给更多的人！大家注意安全，愿一切平安！#河南暴雨互助#,07月20日 21:19,微博 weibo.com,https://weibo.com/5196057034?refer_flag=1001030103_,假
66,6050565571,小小鹿吖吖吖,"#郑州# 在如此艰难的环境下，我还是做高铁来打针💉了，因为九价太难抢了[流泪]但又怕过几天生理期错过了时间🤦🏼‍♀️九价hpv
（PS:今天真的好坎坷，7点多爬起来，坐公交到高铁站，由于郑州下暴雨导致线路故障，在没网没信号的地方足足停了2个小时😭，回来买不上票，好不容易买上了导致又晚点了，买的高铁🚄票走的却是火车的速度，导致晚上22点才到家，比我上一天班还要累[流泪]）
❤️不过结局还是完美的
❤️顺利接种，安全到家 ",07月24日 22:59,iPhone客户端,https://weibo.com/6050565571?refer_flag=1001030103_,真
67,2682309333,义乌公安,遇到这种情况千万不要心疼车了，第一时间逃生，保命要紧！车没了可以再买，人没了就真的没了。🙏#分享河南暴雨中可爱的平凡人##暴雨如何自救# L交通安全蜀黍的微博视频,07月24日 22:59,iPhone客户端,https://weibo.com/2682309333?refer_flag=1001030103_,假
70,2282890063,多崎玉上,#河南暴雨互助# //@尉迟燕窝:难以想象家属的煎熬//@我又有一些真知灼见:到底为什么不能加大搜救力度啊//@-西瓜姑娘-:,07月24日 19:46,iPhone客户端,https://weibo.com/2282890063?refer_flag=1001030103_,假
71,6572059147,可爱的小yaoyao,爱心人士的饭菜，来着大姨妈一天没吃饭了，真的泪流满面#新乡暴雨#,07月24日 22:59,iPhone客户端,https://weibo.com/6572059147?refer_flag=1001030103_,假
72,7272455418,L壹堆乱码,"#河南暴雨救援# #周口泄洪##河南#河南暴雨互助
上保郑州，下保周口，扶沟人民付出了全部
此刻扶沟县人民需要支援！🙏🙏🙏
扶沟县红十字会
关于接受捐赠抗洪救灾钱款物资的公告

为了保障社会各界捐赠扶沟县抗洪钱款、物资的顺利接收和使用，确保信息沟通顺畅，确保各种物资发挥最大效益，扶沟县红十字会就接受社会捐赠的有关事宜公告如下：
一、捐赠物资种类
救生衣、席子、夏凉被、帐篷、照明灯、大容量开水烧水桶、灭蚊灭蝇药品、方便即食食品、发电机组、排水泵、救生橡皮艇、灾后消杀设备、药品。
二、捐赠渠道
全县统一由扶沟县红十字会统一接收、管理、发放各种捐赠钱款、物资。
三、对外联络沟通
全县统一成立十人信息沟通联络组，负责与有捐赠意向的单位和个人电话联络沟通。联络人员名单及电话如下：
1、贾 涛，13513870568；
2、李 磊，13949991512；
3、王 贞，18336110333；
4、郝艳红，15516773169；
5、温 强，13592271987；
6、李月华，13603870328 ；
7、刘 杨，18348348236；
8、王爱霞，15516710828；
9、王艳丽，13523105617；
10、陈亚杰，13592225358。
四、捐赠钱款物资接收
1、钱款捐赠：县红十字会银行专户。
开户行：中国邮储银行扶沟县北大街支行。
账户名称：扶沟县红十字会。
帐号：941009010042090003。
捐款人备注单位+姓名+（捐款意向），原则上不接收现金捐赠。
2、物质捐赠。接收地点咨询联系接收人员确定。接收人员及电话：李保军，13838692519；施电丽，15003946390。

扶沟县红十字会
2021年7月24日 2北京·中国劳动关系学院北京校区 ",07月24日 21:32,HUAWEI P40 Pro 5G,https://weibo.com/7272455418?refer_flag=1001030103_,真
73,5833892098,今天发际线后移了吗,"在这里住了这么久，还是第一次从福塔前面经过

最近因为郑州的暴雨，福塔上面的字也变成了— 风雨同舟，我们在一起。 郑州在慢慢恢复原样。希望新乡也快点好起来",07月24日 22:59,iPhone客户端,https://weibo.com/5833892098?refer_flag=1001030103_,假
81,2036296851,lillian栾,"暴雨
电闪雷鸣
我有点慌",07月24日 22:59,,https://weibo.com/2036296851?refer_flag=1001030103_,假
83,5967053535,张愣Leng,"河南暴雨互助#新乡泄洪##抗洪英雄大赏#
🆘🆘🆘拜托大家都帮帮新中大道以东的村庄吧，我们临近卫河的村庄真的顶不住一个城市的压力了，城中的百姓喝着酒聊着家常，却不知道河岸上的各个村干部、党员、年轻人已经四天三夜没怎么合过眼了，村中的老人小孩已撤离，但是还有好多人坚守在抗洪一线，河东岸的村庄已经被淹了，河西岸的我们也快坚守不住了！新乡真的不只有牧野湖，彩虹桥啊，拜托大家关注一下临近卫河的乡村吧❗️❗️❗️ ",07月24日 22:59,河南暴雨互助超话,https://weibo.com/5967053535?refer_flag=1001030103_,真
84,5917154961,王府竹海度假旅游区,"栾川旅游企业，好样的！#洛阳身边事# #河南暴雨救援#
为全力打赢河南省防汛抗洪抢险救灾这场硬仗，2021年7月24上午，由栾川县多家景区及相关单位组成的旅游企业献爱心救灾物资专车车队，集结出发捐赠至郑州等受灾形势依旧严峻的农村地区，用爱与真情与河南受灾群众共渡难关，践行企业社会责任。越是大灾大难，越是守望相助，越是千钧一发，越要挺身而出！点赞栾川旅游企业，好样的！ 待天朗气清，我们再观祖国山河美景！#王府竹海度假旅游区# @栾川旅游 ",07月24日 22:59,微博 weibo.com,https://weibo.com/5917154961?refer_flag=1001030103_,真
85,2051258110,河北新闻网冀看点,【#10分钟预判他救了无数家庭# 谢谢你，侯文超！】7月20日，郑州一场特大暴雨来袭。在京广北路隧道由北至南上坡处，积水已经淹到了轿车轮胎的三分之二处，400多辆车子堵在这里。一名男子奔走呼喊，逐个敲车主窗户，组织400多名车主安全撤离。经寻找，这位喊话救人的好心大哥就是侯文超。L看看新闻KNEWS的秒拍视频 ,07月24日 22:59,微博视频号,https://weibo.com/2051258110?refer_flag=1001030103_,真
86,5361377727,GOT7_JacksonWang,"哪怕只有一个人看到 都好！！
已核实，请求紧急救援！！！距离京广隧道西广场400米之遥的隆福国际小区受灾严重！！3000户近2万人断水断电！地下车库和地下室积水严重已经地面大面积塌陷，地基沉降，整个小区八栋楼将近2万人的安全受到严重威胁！小区已经有人溺水而死！[流泪][流泪]跪求各地朋友转发救援！[流泪][流泪][流泪]拜谢！[合十][合十][抱拳][抱拳]联系电话66972999，18100320998
核实时间：20：43分
核实人：潘彩勤
目前地下两层积水特别严重，地面裂缝，有地基下沉迹象，请及时救援。 河南暴雨互助 ",07月22日 22:30,iPhone 11 Pro Max,https://weibo.com/5361377727?refer_flag=1001030103_,真
87,5660332545,平平无奇的追羊人,#河南暴雨互助# #新乡暴雨求助# ‼️ ‼️ ‼️ ❗ ❗,07月24日 22:58,vivo智能手机,https://weibo.com/5660332545?refer_flag=1001030103_,假
88,7649134999,梦里啥都有是不是,天呐撸怎么回事一个接一个的下暴雨//@江南哥儿:杭州也这么严重了，都注意安全啊。//@互联网白少侠:#杭州民警冲在抗击烟花前线# 杭州加油！警察蜀黍也要注意安全！,07月24日 16:44,微博视频号,https://weibo.com/7649134999?refer_flag=1001030103_,假
90,5301417519,草莓芝士多加冰,#河南暴雨互助# //@Ochannel_://@chaoscoups:救人,07月24日 19:46,iPhone客户端,https://weibo.com/5301417519?refer_flag=1001030103_,假
92,6607370904,小毓电台-,#河南暴雨救援#,07月24日 22:30,iPad Pro,https://weibo.com/6607370904?refer_flag=1001030103_,假
93,7142344406,TuUyn,"#爱豆v力量#⭕️#爱豆能量月#
自己选择了方向与路途时，就不要抱怨，一个人只有承担起狂风暴雨，才能最终守得住彩虹满天。
张嘉元 btuzjy155",07月24日 22:59,宇宙海能量基地超话,https://weibo.com/7142344406?refer_flag=1001030103_,假
