context,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#暴雨来袭直击郑州路况#积水道路主要有：陇海路京广路、京广路（陇海路-航海路）、航海路、桐柏路汝河路、瑞达路梧桐街、印刷厂街铁路桥涵、新郑路陇海货运线桥下、花寨路郑航北街、大学路桃源路、开元路金河路、大学路南水北调桥以南、嵩山路南水北调桥以南、南三环、大有路瑞风路、南四环金岱路、中州大道石化路、中州大道机场高速桥下、中州大道杨金路北、中州大道郑汴路口、西三环欢河路西、西三环池北路西、西三环三全路、龙子湖南路博学路交叉口等。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#河南迎来今夏最强降雨#【我省强降水持续，局部有大暴雨或特大暴雨】目前我省大部仍有降水回波，郑州、平顶山、洛阳等地仍有45dBZ的较强回波。今天白天到夜里，全省有小到中阵雨、雷阵雨，其中黄河以北和三门峡、洛阳、平顶山、许昌、漯河、郑州、开封七地区及商丘、周口两地区西部、南阳地区北部部分地区有大到暴雨，局部大暴雨或特大暴雨并伴有短时强降水、短时大风等强对流天气。

郑州市：今天白天到夜里，阴天有大到暴雨，局部大暴雨。东北风3级左右，局地阵风7级左右。最高温度：24到25度；最低温度：22到23度。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#气象小新发布#【新乡雨情】7月19日20时至20日08时，我市出现大到暴雨，局部大暴雨。共有96个站点出现大雨（25-50mm）,42个站点出现暴雨（50-100mm），1个站点出现大暴雨（100-250mm）。最大小时雨强49.3毫米，出现在卫辉孙杏村（20日2-3时）。雨量（单位:毫米）最大的5个站点：延津马庄乡103.7、小店97.7、延津东屯94.3、卫辉唐庄86.9、凤泉区凤凰山86.6。8个国家站雨量（单位：毫米）为：封丘71.3、延津67.2、卫辉57.4、新乡56.5、辉县35.7、长垣34.9、原阳33.0、获嘉30.2。具体雨量分布如下图：",,,,,,,,,,,,,,,,,,,,,,,,,,,,
【#直击暴雨中的郑州#】7月20日#郑州发布暴雨红色预警#，早高峰路上，郑州多路段出现大量积水，请大家出行注意安全，减少不必要的外出，安全第一！#郑州的暴雨有多凶猛#L河南教育广播的微博视频,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#河南多地发布暴雨红色预警#【#全国降水榜前10全部来自河南#】19日~22日河南持续强降雨，降水榜全国“前10”全部来自河南！提醒各地注意防范强降雨可能引发的次生灾害，做好防范措施！

河南多地发布暴雨红色预警。

郑州市气象台7月20日06时02分发布暴雨红色预警信号:预计未来3小时内，郑州市区及所辖六县(市)降水量将达100毫米以上，请注意防范。（via：河南气象、郑州气象）",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#郑州今夏暴雨#受天气影响，目前机场通行能力下降，有部分航班延误或取消。至早上八时许，郑州机场已执行航班十多个，因天气等原因取消了二十个航班，机场进出港计有二十多个航班延误，其中有10个进港航班延误未到。@郑州机场,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#郑州今夏暴雨#【#郑州主要积水道路#最新统计】
目前，市区内断行道路2处：分别是沿河路北闸口、京广路南隧道出口。

积水道路主要有：
陇海路京广路、
京广路（陇海路-航海路）、
航海路、桐柏路汝河路、
瑞达路梧桐街、
印刷厂街铁路桥涵、
新郑路陇海货运线桥下、
花寨路郑航北街、

大学路桃源路、
开元路金河路、
大学路南水北调桥以南、
嵩山路南水北调桥以南、
南三环、大有路瑞风路、
南四环金岱路、

中州大道石化路、
中州大道机场高速桥下、
中州大道杨金路北、
中州大道郑汴路口、
西三环欢河路西、

西三环池北路西、
西三环三全路、
龙子湖南路博学路交叉口等。
（郑州市积水路段城防办）LMyRadio的微博视频",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"未来三天具体预报

7月20日08时至21日08时，河北南部、山西南部、河南中北部、陕西南部、湖北西部、四川盆地东部、湖南北部、云南南部以及广东南部等地的部分地区有大到暴雨，其中，山西南部、河南西北部、广东西南部沿海等地局部地区有大暴雨（100～200毫米）。上述部分地区伴有短时强降水（最大小时降雨量30～50毫米，局地可超过70毫米），局地有雷暴大风等强对流天气。内蒙古西北部、青海北部等地部分地区有5～7级风。广东南部沿海将有6～8级大风。O7月21日08时至22日08时，华北中部和南部、黄淮西部、华南南部等地部分地区有中到大雨，以及广东南部等地的部分地区有大到暴雨，其中，山西南部、河北南部、河南中北部、广西东南部、广东西南部等地部分地区有大暴雨（100～240毫米）。内蒙古西部部分地区有4～5级风，华南南部沿海、浙江东部沿海、台湾海峡等地将有6～8级大风。O7月22日08时至23日08时，华北北部、西北地区东南部、西南地区东部、西南地区南部、华南南部、海南岛、台湾岛等地部分地区有中到大雨，其中，浙江东部、云南西南部、广西东南部、广东西南部、台湾岛北部等地部分地区有暴雨或大暴雨（100～220毫米）。华南南部沿海、浙江东部沿海、台湾海峡等地将有6～8级大风。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
【顺德未来六小时天气预报】昨晚到今晨我区阴天，有阵雨，最低气温25.1度。预计今天08时到14时，我区阴天，有大雨到暴雨，气温25到28度，相对湿度80%到95%，东北风1级。顺德气象台2021年07月20日08时35分发布O网页链接,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"【#郑州暴雨致路面积水#市区积水路段滚动更新】截止20日早8：30,郑州市区内积水路段持续更新，提醒市民提前避让，注意安全。L私家车999的微博视频",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#郑州暴雨又来了#【郑州机场发布航班延误信息】从昨天开始，郑州机场受雷雨天气影响，部分航班延误或取消，预计降雨持续至O今天12时以后，请您关注航班动态，合理安排行程。如需帮助，可致电郑州机场24小时服务热线0371-96666。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#河南暴雨#‼️
⚠️

⚠️⚠️整理了一下新出现的转发少的
【避难场所】和【救援】‼️

水上俱乐部救援O网页链接

怀孕急救O网页链接

聋哑人求助O网页链接

救援车辆O网页链接

青企协临时救助点O网页链接

花园路国基路蜜蜂幼儿园O网页链接

郑州新天地附近O网页链接

西四环附近体育馆O网页链接

M2公司千玺广场O网页链接

歌迷量贩KTV提供留宿O网页链接

郑州东站O网页链接

郑州科技馆连云路长江路附近
O网页链接

中洲大道宫O网页链接

郑州世贸大厦O网页链接

绿地新都会O网页链接

东区双子塔O网页链接

东济堂O网页链接

郑开大道O网页链接

郑州爱都沪美人O网页链接

管城回族区校园避难O网页链接

科学大道丁香里路O网页链接

商务内环新澳大厦10楼
O网页链接

地铁一号线郑州大学站附近
O网页链接",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"河南【营救可暂住】
转发！有困在郑州高新区冬青街长椿路附近的，可以来河南省电子商务产业园3号楼1层云和数据公司，有水有电有网有吃的有电影看！可以来暂住一晚！有需要可以加微信：hanying1809；暗号：郑州。
#河南为何成为全国强降雨中心##河南暴雨##河南暴雨救援#
@哎一股清流@韩流@人民日报@中国红十字会总会@滨江烈女",,,,,,,,,,,,,,,,,,,,,,,,,,,,
//@杠精抵用券:郑州京广中路与永安街交叉口向南50米路东！！数十人被困！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//@_加了个贝贝_:#河南暴雨救援#柯柯15294620671河南省郑州市新郑市祥云路与鸿鹄路交汇处永丰乐城阳光里小区这是柯柯的联系方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【转发提醒！#河南再发暴雨红色预警#注意防范！】河南省气象台7月21日00时40分继续发布暴雨红色预警：目前，新乡、开封、漯河三地区和郑州、许昌两地区东部部分地区降水量已达50毫米以上，预计未来3小时内，上述地区降水持续，累积降水量将达100毫米以上。郑州市气象台也于7月21日00时25分继续发布暴雨红色预警信号，郑州市区及中牟新郑未来3小时内降水持续，累积降水量将达100毫米以上。（总台记者田萌）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//@奇迹黏黏://@ONExPEACH://@西游朽://@赛音_:新密市白寨镇榆树岗有老人和婴儿被困。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"网友爆料：麻烦大家帮转！！
1.还有河南妇幼保健院也停电了，好多人都不知道🆘。现在急需新生儿icu呼吸机，麻烦大家扩散，救救重症产妇和孩子！！
2.郑州的朋友，被困在郑东新区金水东路与东风东路附近的朋友或绿地新都会附近没法走的，物业临时安排9号楼1201和2号楼C座704两个办公室避避雨！公司有水、有吃的、能充电！
3.@魔教教主OY琛：帮忙扩散，荥阳市汜水镇，老君堂村，东河南，西邢村，村里水已经涨到房顶，漫进二楼，上百个人被困，还无一人营救!🙏🙏急需营救!110，119都占线忙无法接通。请消防员尽快去营救！🙏🙏🙏
4.@被水怪叼走了作业的饱饱：‼️（转）紧急求助，谁那儿有发电机可以用的，麻烦您联系我们一下，谢谢您了！郑大三附院王军13939006377我们是河南省妇幼医院救救医院的重症产妇孩子吧‼️
5.@魔教教主OY琛：‼️郑大一附中停电，急需发电机全球最大医院郑大一附院老院区停电，心电监护和备用电池全部耗完，急救科室正在全科气囊人工呼吸抢救危重病人，但是坚持不了多久。来自呼吸科ICU确实信源，已求证。事态紧急，希望得到关注支持[抱拳]#河南暴雨#",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#郑州暴雨一路面成河多车被淹#【#郑州的暴雨有多凶猛#】7月19日，郑州地区降雨持续，局地达到暴雨级别。郑州市气象台并在21：59分发布暴雨红色预警！接到网友投稿，受暴雨影响，郑州一路面出现大量积水，多车被淹。下雨天气，出行注意安全，尽量避开积水路段谨慎行车！#河南的暴雨有多大#L河南教育广播的微博视频,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#2021年7月20日00时雨情信息第59期#
开封市气象局
一、天气实况
1.近12小时累计雨量：19日12时-20日00时（图1），尉氏、通许、杞县出现大到暴雨，局部大暴雨，市区、兰考小雨，最大降水量尉氏大马站126.2mm，最大小时雨强尉氏大马站46.5mm/h（19日23-20日00时）。全市区域站中，累计降水量大于等于100mm有1站，50-100mm有7站，25-50mm有18站，10-25mm有17站，10mm以下有40站。
2.近1小时累计雨量：19日23时-20日00时（图2），全区出现小到中雨，局部大雨。最大降水量尉氏大马站46.5mm。全市区域站累计降水25-50mm有1站，10-25mm有14站，10mm以下有63站。
二、天气预报
预计未来3小时我市有小到中雨，局部大雨。
图12021年7月19日12时-20日00时开封市降水量
图22021年7月19日23时-20日00时开封市降水量",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"【#河南暴雨救援#电话公布】河南多地遭遇持续性强降雨，弱您身边需要紧急救援，请拨打以下电话或带#河南暴雨救援#话题词发布微博求助，我们会上报给应急救援部门。（救援电话持续更新）
全省救援电话:
消防火警电话：119
公安报警电话：110
交通事故报警电话：122
水上求救专用报警电话：12395
急救中心报警电话：120
红十字会急救台报警电话：999

巩义救援电话
神鹰救援电话：69590110
温柔狼：13938245165
李文元：15617755699
莫春平：15038109176
杨桃利：13607665380
李增学：15037131126/16638019865
需要救援随时拨打以上电话！！！[/cp]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
好消息//@今年几米啊_:感谢大家的关心，我和爷爷都已经安全到家，谢谢大家。在这里给你们鞠躬了。祈求河南的大雨赶快结束，保佑人民平安,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【转扩周知！】河南暴雨牵动着全国人民的心，为帮助河南网友尽早解决暴雨困境，微博开通了通道。需要求助的网友，可发文介绍自己当下的情况、联系方式、现居地址等，带上话题词，我们将进行汇总，与您保持沟通，帮助大家走出困境。#河南防汛##暴雨中的河南力量#@河南新闻广播@河南教育广播@河南广播电视台新闻中心@映象网@大参考@小莉帮忙@喜买网,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#河南暴雨#【紧急扩散！#巩义暴雨#救援电话来了！】#网友求关注巩义暴雨#巩义市神鹰救援队温馨提示：
①行人在雨中、水中行走，且记不能在大树下停留、要远离路灯杆或有电的设备。
②雨天行车要保持车距、控制车速、提前刹车、正确使用灯光。通过积水路面时，要先观察确保安全，低档通行，如果在水中熄火，且记不能二次启动。

巩义全天免费救援：
神鹰救援电话：69590110
温柔狼：13938245165
李文元：15617755699
莫春平：15038109176
杨桃利：13607665380
李增学：15037131126/16638019865
需要救援随时拨打以上电话！！！",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#河南暴雨多条铁路线区间封锁或限速#河南暴雨情况火车站全部晚点停运路上积水高50毫米起#今日热门#L整点星闻的微博视频,,,,,,,,,,,,,,,,,,,,,,,,,,,,
极端降水，河南多地内涝严重。如有紧急救援需求，请扫码填写本表单，我们会尽快核实，联络前方救援队伍前往救援。如不能马上获得救援，请安抚被困人员，保持耐心，保持通讯设备电量和体力，关注水位变化和预警通知。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"河南暴雨！相关救援方式汇总！

需要求助的网友可以发文写清楚自己联系方式、居住地址等信息，带上话题，相关人员会进行信息汇总的！
（图四来自网友补充的，未获救助前可以利用家里东西做的自救准备！）
（图五来自网友投稿的，郑州越野车队自发的全城救援方式）

新增：某音找河南交通广播直播间，右上角有求助入口

新增特殊人群求助办法，聋哑人士以及盲人，在河南且使用手语的聋人朋友可以下载“手之声”“瀛诺”“滴语7655”这三个软件，有线上手语翻译提供电话转接服务，遇到困难可以通过这个方式联系救援电话。

希望大家都平平安安的🙏🙏🙏🙏#河南暴雨救援电话##河南暴雨#",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"【转扩周知！】河南省内多个城市地区目前正持续遭受暴雨，为帮助河南网友尽早解决暴雨困境，超话社区现已开通河南暴雨互助通道。

在河南暴雨互助内，可按照图片指引，带话题词，发布求助信息。
【现居地址】：
【联系方式】：
【灾情描述】：

众志成城，迎战暴雨！超话社区将及时对有效求助帖进行汇总，帮助大家尽快走出困境！河南加油💪🏻",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#郑州积水齐腰深#【#河南5个气象站日降雨量破历史极值#急转！注意安全！】7月17日以来，河南普降暴雨、大暴雨，局部特大暴雨。昨天至今晨，河南强降雨达到近期鼎盛。嵩山、新密、新郑、登封、偃师5个国家级气象观测站的日降雨量，已突破有气象记录以来的极值。其中，嵩山和新密出现历史同期首场特大暴雨！#河南大雨#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【#郑州地铁2号线大水漫灌#工作人员：已停运】#郑州地铁2号线已停运#7月19日起，郑州出现持续强降雨天气，24小时平均降雨量达253毫米，接近特大暴雨量级。郑州气象台发布暴雨红色预警信号，防汛Ⅱ级应急响应提升至I级。郑州地铁2号线站台有大量洪水涌入，地铁工作人员告诉@中国新闻周刊，2号线目前已停运。#周刊君现场#L中国新闻周刊的微博视频,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#一张图告诉你河南暴雨有多大#和河南的好朋友失联了半天才能回消息，说是没信号。请不要再下雨了,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#郑州暴雨#【郑州遭遇暴雨袭城：道路断行，地铁站内积水过膝】7月19日、20日，河南多地遭遇大暴雨，20日08时至17时，郑州市出现大暴雨，局部特大暴雨，导致市区部分道路断行，积水严重。

郑州地铁其他线路车站，由于积水严重等原因，为确保乘客出行安全，也对部分车站采取临时关闭等措施，受持续强降雨影响，郑州铁路局管内多条铁路停运，另有多趟列车折返，或不同程度晚点。

郑州市政府紧急提醒市民，此次强降水形势严峻，请市民尽量待在家中或者安全的地方，注意防水、防电、防灾。L环视频的微博视频",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#河南暴雨多条铁路线区间封锁或限速#这场暴雨太狠了！河南郑州暴雨已经多路段水淹，高铁火车延时#今日热门#L综艺那些事的微博视频,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#巩义暴雨#【关注！愿平安！#河南多地暴雨致灾#】19日以来，河南郑州市区、巩义、登封、嵩山、偃师等多地出现暴雨，局地特大暴雨，多地出现内涝、山洪等灾害，#河南超50家景区暂时关闭#。河南省气象台20日16时20分继续发布暴雨红色预警，郑州防汛应急响应已提至I级，今明两天强降雨还将继续下。注意安全！L海客新闻的微博视频,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#河南暴雨#7月17日以来，河南省出现持续性强降水天气多地出现暴雨，600余站降水超过250毫米，最大降水量728毫米，郑州6小时降雨382毫米。
其中，20日16时至17时一小时降雨量超过200毫米。中央气象台表示郑州此次极端强降雨最大小时降雨量为201.9毫米已超过“758特大暴雨”，历史纪录为河南林州的1小时降雨量（198.5毫米，1975年8月5日）（中国气象局）",,,,,,,,,,,,,,,,,,,,,,,,,,,,
郑州高新区西三环延长线桥求求这个工人，他的手机掉水里了,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#河南暴雨##郑州暴雨#
紧急扩散转发#河南为何成为全国强降雨中心#
暴雨还在持续中，郑州好多地方都被淹了刚刚地铁5号线的水都淹到胸口了，已经救援了#郑州救援#
温馨提示：
①行人在雨中、水中行走，且记不能在大树下停留、要远离路灯杆或有电的设备。
②雨天行车要保持车距、控制车速、提前刹车、正确使用灯光。通过积水路面时，要先观察确保安全，低档通行，如果在水中熄火，且记不能二次启动。
以下是各个区域救援电话
让我们一起共渡难关2郑州",,,,,,,,,,,,,,,,,,,,,,,,,,,,
本来就是在学校待到崩溃好不容易买到明天回家的票结果又遇上经停的河南暴雨交通系统瘫痪关注了一下灾情更难受了跟家人通过电话发消息给朋友一直没收到回复你就永远别回我了吧,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【#郑州一地铁车厢行驶中被淹大半#积水淹没乘客胸口】据@海客新闻消息：7月20日，郑州遭遇持续暴雨侵袭，仅下午16-17时，郑州一小时降雨量就达到201.9毫米。下午早些时候，有网友拍下郑州一行驶的地铁内，积水已经没过了车辆的大半。据“郑州地铁”7月20日晚发布的消息，受持续暴雨影响，郑州地铁全线网车站现已暂停运营服务。L海客新闻的微博视频#一张图告诉你河南暴雨有多大##郑州暴雨一高校救助近50辆受困车#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#一张图告诉你河南暴雨有多大#三十多年没见过这么大的雨，形势真的很严峻，地铁火车人员被困，村庄被淹，我还好只是被困单位，停电，但已经让我很不舒服了，想想他们，真的好难过。希望大家平安！2郑州,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【#山洪致河南登封龙头村近30人被困#】在这一轮的强降雨中，河南郑州登封，累计最大降雨量达到409毫米，多地积水严重，多人被困，现在当地的雨情如何？戳↓看现场情况。转发提醒！注意安全！#河南大雨#L央视网的微博视频,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【#河南32座大中型水库超汛限水位#】记者从河南省水利厅获悉，18日8时至20日15时30分，河南郑州荥阳、巩义7个雨量站降雨量超600mm，重现期均大于500年一遇，最大点雨量718.5mm。河南32座大中型水库超汛限水位，个别河段出现险情，发生区域性严重洪涝灾害。当日17时，河南省水利厅已将水旱灾害防御提升至Ⅱ级应急响应。#同心抗汛##河南大雨#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#河南多地暴雨致灾#【持续关注河南暴雨致灾愿平安】昨天以来，郑州市区、巩义、登封、嵩山、偃师等多地出现暴雨、大暴雨，局地特大暴雨。5个国家级气象站突破建站以来连续3日降水量历史极值，多地出现内涝、山洪等灾害，#郑州高铁#多趟高铁、火车晚点停运。河南省气象局暴雨应急响应已经提升至二级，暴雨红色预警生效中，今明两天强降雨还将继续下。#巩义暴雨##登封暴雨##郑州暴雨#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#河南暴雨救援#帮发：请转发给需要的人：滞留在郑州高新区春藤路、枫杨街、科学大道、长椿路附近的路人，请到枫杨街春藤路交叉口向南200米松林小鹿幼儿园暂避风雨，园区备有有吹风机和瓶装饮用水，如需进餐请及时说明，路边餐饮店都已关门，我们可采购部分零食充饥。今晚，请把幼儿园当成您自己温暖的家。
联系电话：15937165929",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#河南暴雨##郑州暴雨#【#郑州三天下了一年的雨#】郑州气象局对这次特大暴雨做了一个数据的梳理和总结。郑州20日16时~17时，一个小时的降雨量达到了201.9mm。
19日20时到20日20时，单日降雨量552.5mm。17日20时到20日20时，三天的过程降雨量617.1mm。其中小时降水，单日降水均已突破自1951年郑州建站以来60年的历史记录。
郑州常年平均全年降雨量为640.8mm，相当于这三天下了以往一年的量。从气候学的角度来看，小时降水、日降水的概率，重现期通过分布曲线拟合来看，都是超千年一遇的。
重现期在气候学中是指在一定年代的雨量记录资料统计期内大于或等于某暴雨强度的降雨，出现一次的平均间隔时间，为该暴雨发生频率的重现期。（河南日报）",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

这些地方可以就近避难！（被困请填求助表
）
避难所文字版（该微博评论持续更新）：O网页链接

微信互助信息快速反馈通道（见配图1小程序码）

河南暴雨罕见病患者紧急求助通道【见配图7】

漏电地区合集（持续更新）：O网页链接

失联者合集（共享文档可自主登陆登记）：O网页链接

救援队信息合集：O网页链接
听障群体电话方法：O网页链接
溺水急救方法：O网页链接
医学咨询群：O网页链接

新乡暴雨避险信息：O新乡暴雨避险信息
郑州暴雨避险信息：O郑州暴雨避险信息

温馨提示：请勿驱赶避雨的小动物，谢谢大家，他们也是生命！（保证自身和他人安全的前提下）

附图：郑州取水点（图2），互助信息发布码（图1），车队联系方式（图三），求助通道（图4-6）",,,,,,,,,,,,,,,,,,,,,,,,,,,,
